time,V_C,I_L,V_IN
0.0001755,73.33759679,1.887987803,51.15153944
0.000176,76.5626831,1.597198994,56.97042469
0.0001765,79.25165245,1.311467685,63.15048168
0.000177,81.46758459,1.086585245,68.41691378
0.0001775,83.31109997,0.920643044,71.32847898
0.000178,84.86389149,0.762059906,75.04588639
0.0001785,86.1685006,0.65169762,82.67917618
0.000179,87.36751485,0.653920332,93.36995539
0.0001795,88.61066289,0.700510616,105.7565919
0.00018,89.98888217,0.802898229,115.0744931
0.0001805,91.64929805,0.999999634,120.1365312
0.000181,93.72554633,1.253228791,123.1467663
0.0001815,96.28022971,1.504345011,125.7315119
0.000182,99.29113671,1.743475378,128.6753495
0.0001825,102.7251361,1.961678085,128.4132504
0.000183,106.5325013,2.14467822,129.742087
0.0001835,110.6592346,2.30225863,130.4131601
0.000184,115.0100643,2.395106036,128.812471
0.0001845,119.46157,2.401413674,123.5838754
0.000185,123.8712264,2.342263425,114.9707215
0.0001855,128.1017677,2.201529159,107.8703427
0.000186,131.9266419,1.912534719,101.065611
0.0001865,135.1215032,1.52608507,91.37088649
0.000187,137.5586736,1.080620644,79.06564963
0.0001875,138.9952002,0.452000018,67.62027212
0.000188,139.1615805,-0.283059382,60.54599829
0.0001885,137.9619418,-1.024369783,53.63093589
0.000189,135.3071294,-1.845995488,44.04565559
0.0001895,131.1048726,-2.693657421,34.16933693
0.00019,125.3240757,-3.567095638,23.36686475
0.0001905,117.8671383,-4.483222994,8.232629236
0.000191,107.7545156,-7.681189713,-6.40791714
0.0001915,86.95865908,-14.32728795,-19.10603229
0.000192,56.14286154,-18.32974503,-27.62972666
0.0001925,20.87528838,-19.25171228,-30.06996849
0.000193,-13.26130585,-17.16987776,-28.92222547
0.0001935,-41.40078337,-12.9669117,-28.36951089
0.000194,-60.77612211,-7.97183836,-28.78176324
0.0001945,-72.01559561,-4.991001352,-24.20688045
0.000195,-80.55919413,-4.235148744,-18.73842895
0.0001955,-87.6540323,-3.426433215,-13.88873062
0.000196,-93.20794008,-2.552136033,-9.578995385
0.0001965,-97.06875053,-1.611963247,-5.500948268
0.000197,-99.1794037,-0.666958565,-2.467560642
0.0001975,-99.50470713,0.313336511,-1.388049492
0.000198,-98.02857054,1.276229912,-1.878868168
0.0001985,-94.81268017,2.188671787,-2.920131943
0.000199,-89.97518022,3.022948545,-5.316464367
0.0001995,-83.67755626,3.75295215,-9.03074796
0.0002,-76.13227751,4.381569784,-12.45087529
0.0002005,-67.50949076,4.935670269,-14.99833957
0.000201,-57.4129845,6.142994315,-15.55958329
0.0002015,-44.71275148,7.377358731,-20.0890335
0.000202,-31.12029144,7.056191562,-22.28434627
0.0002025,-19.06593941,5.94033971,-22.05956237
0.000203,-9.084755961,4.978592998,-25.58364338
0.0002035,-0.283990263,4.532879119,-30.41430697
0.000204,7.652523305,4.023493524,-36.0993013
0.0002045,14.5397892,3.391467131,-44.30015791
0.000205,20.15090821,2.657025055,-54.01878183
0.0002055,24.32269302,1.827752709,-63.83679622
0.000206,26.84439008,0.887517118,-68.39823977
0.0002065,27.57805077,-0.098778837,-68.49413461
0.000207,26.5147599,-1.042505538,-64.7530619
0.0002075,23.77997156,-1.906608711,-59.68273864
0.000208,19.52919329,-2.667829392,-57.25326483
0.0002085,13.94626512,-3.329211704,-56.24084477
0.000209,7.228961542,-3.91080214,-54.98129457
0.0002095,-0.477980569,-4.400637404,-55.50203349
0.00021,-9.032438818,-4.827111214,-54.92700363
0.0002105,-18.44294225,-5.398905638,-54.48679457
0.000211,-29.22237968,-6.206775518,-54.33418778
0.0002115,-40.87979115,-6.245530077,-52.40441337
0.000212,-51.86454132,-5.532421594,-49.39602773
0.0002125,-61.43386468,-4.879417725,-46.45234503
0.000213,-70.08312812,-4.470472397,-42.04646166
0.0002135,-77.9394833,-3.993482465,-39.35621582
0.000214,-84.83114056,-3.435996501,-35.7864935
0.0002145,-90.59794339,-2.781978711,-31.16665982
0.000215,-95.09923284,-2.070760449,-27.19660081
0.0002155,-98.24271594,-1.318033665,-23.78794701
0.000216,-99.95263118,-0.525372406,-22.64962727
0.0002165,-100.180249,0.282018622,-20.36860866
0.000217,-98.91842271,1.080571824,-18.50083549
0.0002175,-96.20158847,1.848356718,-17.4037719
0.000218,-92.0999981,2.571110807,-14.84494261
0.0002185,-86.70045286,3.242534183,-14.24707306
0.000219,-80.12797684,3.839042883,-17.73718102
0.0002195,-72.54613596,4.336526473,-24.22639212
0.00022,-64.15662138,4.711230647,-29.89321662
0.0002205,-55.20269546,4.934259785,-36.01229939
0.000221,-46.04405929,4.927379571,-39.22598251
0.0002215,-37.04722116,4.750110814,-44.2963566
0.000222,-28.51062857,4.463928166,-45.85670855
0.0002225,-20.56833363,4.100979433,-45.73706342
0.000223,-13.36129953,3.673725015,-45.78081074
0.0002235,-6.992236602,3.194656821,-46.53565758
0.000224,-1.552801811,2.666995057,-46.41106654
0.0002245,2.874913305,2.11418064,-45.35192615
0.000225,6.267638393,1.560296063,-41.89052178
0.0002255,8.65652413,1.02397507,-37.83049813
0.000226,10.08601237,0.522724182,-33.96676571
0.0002265,10.62895905,0.072555525,-31.16815111
0.000227,10.37721451,-0.330587117,-28.72960482
0.0002275,9.430222236,-0.688824471,-26.78887411
0.000228,7.828724994,-1.033703998,-29.06576484
0.0002285,5.578734244,-1.394909092,-34.0988064
0.000229,2.675109131,-1.741956462,-37.29985559
0.0002295,-0.848247828,-2.063404445,-39.23860518
0.00023,-4.94393256,-2.357416784,-40.98657409
0.0002305,-9.557055029,-2.61345832,-42.144658
0.000231,-14.60862658,-2.832756494,-42.48520248
0.0002315,-20.01594562,-3.004015208,-43.91081114
0.000232,-25.68641926,-3.11605275,-46.67322915
0.0002325,-31.52829172,-3.177813863,-49.31232544
0.000233,-37.45601723,-3.21448497,-53.02480767
0.0002335,-43.41458997,-3.220244309,-56.49725934
0.000234,-49.3918191,-3.224357136,-61.94309472
0.0002345,-55.37397493,-3.234372686,-64.78013647
0.000235,-61.34068746,-3.208283154,-65.26445656
0.0002355,-67.21341711,-3.12271353,-64.05461856
0.000236,-72.84329391,-2.944754943,-59.64005374
0.0002365,-78.07387752,-2.690530629,-51.07268938
0.000237,-82.76686316,-2.352489086,-41.50237006
0.0002375,-86.71169079,-1.898431236,-37.01784057
0.000238,-89.72416677,-1.347997878,-36.84401208
0.0002385,-91.68252292,-0.762081296,-38.4080446
0.000239,-92.57352028,-0.201557308,-39.53311529
0.0002395,-92.44962439,0.331005178,-39.60439185
0.00024,-91.36217721,0.83482314,-40.59632782
0.0002405,-89.37401779,1.303720957,-41.61682493
0.000241,-86.56170739,1.722092403,-44.06657573
0.0002415,-83.0495273,2.057850487,-48.32914996
0.000242,-78.98440153,2.318582111,-55.43674182
0.0002425,-74.55205193,2.442177161,-64.58386872
0.000243,-70.01533206,2.44322444,-75.88019547
0.0002435,-65.58019873,2.315582423,-87.32227915
0.000244,-61.56709183,1.999011954,-95.5368372
0.0002445,-58.24671539,1.573696946,-102.1342495
0.000245,-55.77240392,1.08800847,-102.0688298
0.0002455,-54.21396024,0.593019146,-99.06126624
0.000246,-53.55709389,0.126762313,-95.78903626
0.0002465,-53.73712391,-0.31558587,-93.7734088
0.000247,-54.6877139,-0.703188212,-90.84044634
0.0002475,-56.30691497,-1.03139198,-88.6142625
0.000248,-58.49229693,-1.317187317,-84.90230653
0.0002485,-61.12084176,-1.508835045,-75.98618744
0.000249,-63.96217735,-1.53961594,-66.23062289
0.0002495,-66.78047457,-1.482946693,-55.54604149
0.00025,-69.36869963,-1.288392409,-46.95611889
0.0002505,-71.50300049,-1.008644948,-38.79220101
0.000251,-73.03610783,-0.627943381,-28.27071977
0.0002515,-73.77246314,-0.161243312,-18.51205773
0.000252,-73.62482328,0.341853182,-6.21859483
0.0002525,-72.39121688,1.003824677,6.449209717
0.000253,-69.84295674,1.758715919,16.8496969
0.0002535,-65.89805298,2.506211675,27.25576749
0.000254,-60.50378086,3.332731779,38.71708811
0.0002545,-53.50052203,4.256475224,49.30276489
0.000255,-44.56468729,5.868552077,54.8446781
0.0002555,-28.46256424,11.34505126,56.92156305
0.000256,-4.09526357,14.49069692,57.50250548
0.0002565,23.44739984,14.80084337,57.75797151
0.000257,49.3090555,12.8450984,59.01170045
0.0002575,70.23045909,9.628918581,59.74275418
0.000258,84.79357895,6.173361873,57.60296989
0.0002585,94.45534928,4.713091977,55.907403
0.000259,102.6083852,4.0918564,55.90011165
0.0002595,109.5929756,3.44315204,57.63384976
0.00026,115.355255,2.771221381,61.77226208
0.0002605,119.8931367,2.13726829,67.50874744
0.000261,123.2917493,1.559065108,73.4144764
0.0002615,125.6752266,1.018044089,77.31029315
0.000262,127.0783867,0.499798159,77.03616608
0.0002625,127.5270409,-0.010757736,76.57010205
0.000263,127.0389835,-0.513191626,76.55454401
0.0002635,125.6387658,-0.996277597,76.12138603
0.000264,123.3456768,-1.478247867,72.28069958
0.0002645,120.1817341,-1.937385245,66.302594
0.000265,116.1806264,-2.388739684,62.42166995
0.0002655,111.3552707,-2.820307641,59.55984903
0.000266,105.7529675,-3.215053558,58.18378238
0.0002665,99.46288327,-3.564874674,57.10747406
0.000267,92.58248146,-3.853458289,56.45933561
0.0002675,85.23913205,-4.065232161,57.27686436
0.000268,77.57987837,-4.192662327,57.13569229
0.0002685,69.76368227,-4.233988466,56.41109656
0.000269,61.96711611,-4.189590904,54.35708778
0.0002695,54.305222,-4.082416384,51.01698407
0.00027,46.86014935,-3.93591168,47.14282428
0.0002705,39.70354659,-3.764097851,43.61043835
